Rank,Program,HH COV AA%,HH AA (000),P2+ AA (000),#Tlc,Label
1,FOXNHANNITY,3.1,2640,3276,49,Cons
2,FOXNTUCKER CARLSON TONIGHT,2.9,2459,3082,49,Cons
3,"FOXNINGRAHAM ANGLE, THE",2.5,2140,2629,50,Cons
4,MSNBRACHEL MADDOW SHOW,2.5,2132,2518,56,Lib
5,"FOXNFIVE, THE",2.5,2073,2500,62,Cons
6,FOXNSPECIAL RPT W/BRET BAIER,2.1,1767,2169,66,Cons
7,MSNBLAST WORD W/ L. ODONNELL,2,1671,1937,57,Lib
8,"FOXNSTORY, THE",1.8,1530,1882,64,Cons
9,MSNBALL IN W/ CHRIS HAYES,1.6,1346,1531,59,Lib
10,FOXNAMERICAS NEWSROOM,1.6,1321,1504,192,Cons
11,FOXNOUTNUMBERED,1.6,1313,1504,63,Cons
12,FOXNFOX AND FRIENDS,1.5,1270,1455,195,Cons
13,MSNB11TH HOUR W/B. WILLIAMS,1.5,1271,1428,59,Lib
14,FOXNYOUR WORLD W/NEIL CAVUTO,1.4,1209,1404,63,Cons
15,MSNBDEADLINE:WHITE HOUSE,1.5,1299,1398,62,Lib
16,FOXNFOX NEWS AT NIGHT,1.4,1160,1388,67,Cons
17,FOXNOUTNUMBERED OVERTIME,1.4,1177,1345,61,Cons
18,MSNBHARDBALL WITH C. MATTHEWS,1.4,1199,1344,62,Lib
19,FOXNDAILY BRIEFING W/D.PERINO,1.4,1160,1327,61,Cons
20,MSNBBEAT W/ARI MELBER,1.4,1190,1314,62,Lib
21,FOXNSHEPARD SMITH REPORTING,1.3,1125,1288,67,Cons
22,MSNBMTP DAILY,1.3,1119,1220,63,Lib
23,CNN CUOMO PRIME TIME,1,888,1041,50,Lib
24,MSNBMORNING JOE,1.2,992,1022,62,Lib
25,CNN ANDERSON COOPER 360,0.9,823,959,71,Lib
26,MSNBMSNBC LIVE W/ S.RUHLE,1.1,914,951,60,Lib
27,MSNBMSNBC LIVE W/ A.VELSHI,1,823,866,61,Lib
28,MSNBMSNBC LIVE W/ H.JACKSON,1,831,859,60,Lib
29,MSNBANDREA MITCHELL REPORTS,1,811,835,60,Lib
30,CNN ERIN BURNETT OUTFRONT,0.8,718,827,64,Lib
31,MSNBMSNBC LIVE W/VELSHI&RUHLE,0.9,794,824,61,Lib
32,CNN SITUATION ROOM,0.8,731,817,129,Lib
33,MSNBMSNBC LIVE W/K.TUR,0.9,774,811,61,Lib
34,CNN CNN TONIGHT,0.8,692,805,104,Lib
35,MSNBMSNBC LIVE,0.9,741,802,23,Lib
36,MSNBMSNBC LIVE W/ C.MELVIN,0.9,767,791,60,Lib
37,CNN LEAD WITH JAKE TAPPER,0.8,719,789,67,Lib
38,CNN CNN RIGHT NOW,0.7,623,682,66,Lib
39,CNN CNN NEWSROOM,0.7,615,666,258,Lib
40,CNN AT THIS HOUR,0.7,605,655,65,Lib
41,CNN INSIDE POLITICS,0.7,586,633,65,Lib
42,FOXNFOX & FRIENDS FIRST,0.6,525,575,128,Cons
43,CNN CNN NEWSROOM LIVE,0.5,429,501,12,Lib
44,CNN NEW DAY,0.5,439,461,196,Lib
45,MSNBFIRST LOOK,0.4,377,372,74,Lib
46,CNN EARLY START,0.3,286,300,122,Lib
47,FBN LOU DOBBS TONIGHT,0.3,246,295,61,Cons
48,HLN MORNING EXPRESS W/ MEADE,0.2,180,202,382,Lib
49,CNBCPOWER LUNCH,0.2,183,201,62,Lib
50,CNBCCLOSING BELL,0.2,182,200,63,Lib
51,"CNBCEXCHANGE, THE",0.2,181,200,62,Lib
52,"FBN CLAMAN COUNTDOWN, THE",0.2,141,155,59,Cons
53,FBN AFTER THE BELL,0.2,137,153,62,Cons
54,CNBCFAST MONEY,0.2,134,149,62,Lib
55,"FBN EVENING EDIT, THE",0.2,124,146,61,Cons
56,FBN CAVUTO COAST TO COAST,0.2,128,141,126,Cons
57,FBN TRISH REGAN PRIMETIME,0.1,120,141,61,Cons
58,CNBCMAD MONEY,0.1,119,140,60,Lib
59,FBN MAKING MONEY W/C.PAYNE,0.1,120,132,62,Cons
60,CNBCCASH PAD,0.1,106,129,9,Lib
61,FBN BULLS & BEARS,0.1,104,118,63,Cons
62,CNBCOPTIONS ACTION,0.1,96,114,6,Lib
63,CNBCSQUAWK BOX,0.1,99,104,63,Lib
64,"CNBCPROFIT, THE",0.1,85,102,15,Lib
65,FBN KENNEDY,0.1,81,96,49,Cons
66,FBN MORNINGS WITH M.BARTIROMO,0.1,67,73,189,Cons
67,CNBCMILLION DOLLAR LISTING LA,0.1,54,58,7,Lib
68,FBN M. BARTIROMOS WALL STREET,0.1,46,54,13,Cons
69,FBN WSJ AT LRGE W/GERRY BAKER,0,35,42,13,Cons
70,CNBCWORLDWIDE EXCHANGE,0,38,39,62,Lib
71,CNBCSTREET SIGNS,0,33,35,64,Lib
72,FBN FBN AM,0,19,19,6,Cons
